group,n,r_in,r_out,fold,p
BindingDB 同一性≥95%,53,0.4000,0.2143,1.867,0.112430
DUD-E cross train,26,1.1532,0.2183,5.284,0.000129
DUD-E within train,26,1.1126,0.2067,5.383,0.000199
DUD-E train 并集,40,1.0335,0.1500,6.892,0.000045
DUD-E train 但 BindingDB 没见过,14,1.4462,0.2716,5.325,0.000909
BindingDB 见过但不在 DUD-E train,27,0.2308,0.3571,0.646,0.698782
control_conglude,53,0.9173,0.5833,1.573,0.018036
control_sprint,53,0.1185,0.0351,3.377,0.016754
control_hypseek_rk,53,1.8698,1.9464,0.961,0.578020
control_ligunity_pocket,53,1.2623,1.2963,0.974,0.324386
control_ligunity_protein,53,1.0149,1.1775,0.862,0.946492
control_litenclip,53,1.3125,1.1846,1.108,0.102770
control_drugclip,53,0.8958,0.9682,0.925,0.611123
control_bindclip_randneg,53,0.9688,1.0525,0.920,0.907616
control_bindclip_hardneg,53,0.7188,0.7884,0.912,0.863976
